airbnb_listing_id,n_stay_dates,coverage_ratio,avg_daily_price,annual_revenue_occ_40,annual_revenue_occ_50,annual_revenue_occ_60
1304433283397417052,65,0.7143,1073.15,156679.34,195849.17,235019.01
1312949509621922876,68,0.7473,546.38,79770.75,99713.44,119656.13
1318315111310867765,81,0.8901,752.75,109901.65,137377.06,164852.48
1320994692912931266,79,0.8681,1430.00,208780.00,260975.00,313170.00
1321134786322096510,65,0.7143,748.20,109237.20,136546.50,163855.80
15523493,49,0.5385,608.08,88779.92,110974.90,133169.88
577547502503396579,58,0.6374,610.66,89155.66,111444.57,133733.48
6569062,90,0.9890,720.72,105225.44,131531.81,157838.17
708045427082372124,91,1.0000,1258.04,183674.42,229593.02,275511.63
746451645715267085,89,0.9780,974.93,142339.34,177924.17,213509.01
754141022905987471,80,0.8791,639.07,93303.73,116629.67,139955.60
758758164947604865,82,0.9011,153.90,22469.76,28087.20,33704.63
767407262472265686,68,0.7473,729.04,106440.44,133050.55,159660.66
769009482417170004,55,0.6044,567.07,82792.62,103490.77,124188.93
786307999394390316,53,0.5824,572.91,83644.23,104555.28,125466.34
787847078680683474,52,0.5714,322.88,47141.15,58926.44,70711.73
790431243381422888,90,0.9890,914.23,133478.07,166847.58,200217.10
790518755885066166,47,0.5165,806.17,117700.85,147126.06,176551.28
799251513158018593,51,0.5604,520.39,75977.25,94971.57,113965.88
802357806571870530,55,0.6044,654.94,95620.71,119525.89,143431.06
805726391815686158,47,0.5165,406.72,59381.62,74227.02,89072.43
806702099486447309,60,0.6593,571.28,83407.37,104259.21,125111.05
816613605644920543,79,0.8681,1897.47,277030.38,346287.97,415545.57
832123000813215722,78,0.8571,486.67,71053.33,88816.67,106580.00
863830918159371125,67,0.7363,329.46,48101.55,60126.94,72152.33
871084107630048364,54,0.5934,444.44,64888.89,81111.11,97333.33
873125740517449213,62,0.6813,456.05,66583.06,83228.83,99874.60
881204142086821328,51,0.5604,516.67,75433.33,94291.67,113150.00
906701409648697471,57,0.6264,542.02,79134.56,98918.20,118701.84
911476333007658783,53,0.5824,257.31,37567.45,46959.32,56351.18
913929715874853789,52,0.5714,919.53,134251.68,167814.60,201377.52
15909831,65,0.7143,719.85,105097.54,131371.92,157646.31
15934309,61,0.6703,784.87,114590.85,143238.57,171886.28
16527828,87,0.9560,1055.79,154145.79,192682.24,231218.69
16586622,51,0.5604,511.37,74660.39,93325.49,111990.59
16618715,67,0.7363,781.07,114036.90,142546.12,171055.34
16662563,62,0.6813,1728.00,252288.00,315360.00,378432.00
1977915,52,0.5714,841.57,122868.83,153586.03,184303.24
21091876,77,0.8462,751.08,109657.38,137071.72,164486.06
21397811,68,0.7473,699.25,102090.50,127613.13,153135.75
21545686,63,0.6923,301.10,43959.90,54949.88,65939.86
21607605,47,0.5165,779.09,113747.46,142184.33,170621.19
22421421,46,0.5055,394.26,57562.09,71952.61,86343.13
26197944,58,0.6374,432.76,63182.76,78978.45,94774.14
26570136,63,0.6923,676.23,98730.26,123412.83,148095.40
26708551,60,0.6593,531.40,77584.60,96980.75,116376.90
28410850,76,0.8352,527.54,77021.40,96276.75,115532.11
29341170,46,0.5055,408.78,59682.26,74602.83,89523.39
29739100,69,0.7582,699.79,102169.67,127712.09,153254.51
29800671,75,0.8242,548.89,80137.45,100171.82,120206.18
30105402,87,0.9560,777.87,113569.54,141961.93,170354.31
30402651,48,0.5275,597.72,87266.94,109083.67,130900.41
30491733,48,0.5275,753.41,109998.12,137497.65,164997.19
30494198,59,0.6484,429.78,62747.83,78434.79,94121.75
31454750,59,0.6484,544.47,79492.05,99365.06,119238.08
31530689,74,0.8132,716.48,104606.04,130757.55,156909.06
32486859,48,0.5275,868.39,126784.27,158480.34,190176.41
32766950,48,0.5275,320.83,46841.67,58552.08,70262.50
34218930,58,0.6374,726.24,106030.47,132538.08,159045.70
35481220,60,0.6593,598.74,87415.32,109269.15,131122.98
38319706,79,0.8681,526.90,76927.83,96159.79,115391.75
38447436,91,1.0000,995.74,145377.49,181721.87,218066.24
38514587,90,0.9890,857.36,125174.59,156468.23,187761.88
38730549,64,0.7033,740.63,108131.25,135164.06,162196.88
38899673,78,0.8571,544.01,79426.18,99282.73,119139.28
39007372,88,0.9670,1100.00,160600.00,200750.00,240900.00
39363955,57,0.6264,397.41,58022.58,72528.22,87033.87
39583346,50,0.5495,545.00,79570.00,99462.50,119355.00
39715668,56,0.6154,225.11,32865.64,41082.05,49298.46
3977675,55,0.6044,242.71,35435.97,44294.96,53153.95
40023421,77,0.8462,456.52,66651.84,83314.81,99977.77
40320100,75,0.8242,783.22,114350.12,142937.65,171525.18
40342798,81,0.8901,657.22,95954.44,119943.06,143931.67
40351988,52,0.5714,347.54,50740.62,63425.77,76110.92
40449599,62,0.6813,544.47,79492.68,99365.85,119239.02
40560834,73,0.8022,669.94,97811.00,122263.75,146716.50
40892344,55,0.6044,408.36,59621.09,74526.36,89431.64
41193865,50,0.5495,405.80,59246.80,74058.50,88870.20
41227471,72,0.7912,638.06,93156.11,116445.14,139734.17
41676390,90,0.9890,608.01,88768.81,110961.01,133153.22
41686810,59,0.6484,95.42,13931.86,17414.83,20897.80
41762297,77,0.8462,1661.36,242559.09,303198.86,363838.64
41883230,53,0.5824,535.47,78178.87,97723.58,117268.30
41888100,78,0.8571,552.95,80730.58,100913.22,121095.86
16177778,90,0.9890,750.97,109641.13,137051.42,164461.70
16350860,65,0.7143,603.93,88174.45,110218.07,132261.68
17570590,60,0.6593,1563.43,228261.27,285326.58,342391.90
21295667,53,0.5824,736.20,107485.84,134357.30,161228.76
21695053,76,0.8352,739.06,107903.13,134878.91,161854.69
21734892,59,0.6484,754.41,110143.39,137679.24,165215.08
22047595,60,0.6593,681.96,99565.92,124457.40,149348.88
22190101,46,0.5055,271.74,39673.91,49592.39,59510.87
22191680,69,0.7582,388.94,56785.54,70981.92,85178.30
22231120,80,0.8791,334.46,48831.22,61039.03,73246.83
22245880,69,0.7582,1285.18,187636.10,234545.12,281454.15
22739656,66,0.7253,1162.88,169780.30,212225.38,254670.45
22810332,65,0.7143,480.00,70080.00,87600.00,105120.00
22901902,81,0.8901,716.04,104542.31,130677.89,156813.46
23023313,68,0.7473,528.68,77186.76,96483.46,115780.15
23343001,69,0.7582,565.22,82521.74,103152.17,123782.61
25165914,85,0.9341,621.18,90691.76,113364.71,136037.65
26334990,48,0.5275,1217.31,177727.12,222158.90,266590.68
27022969,47,0.5165,1502.13,219310.64,274138.30,328965.96
